,source,target
189,If I'm going to be in a relationship I need girl I can depend on_comma_ not some effed up crazy damaged goods type of girl,Yes_comma_ glad you agree....I was an idiot and mistook a deadly combo of pity and infatuation for love...but now I know what to avoid and what I want so I'm thankful
190,If I'm going to be in a relationship I need girl I can depend on_comma_ not some effed up crazy damaged goods type of girl,Yes_comma_ glad you agree....I was an idiot and mistook a deadly combo of pity and infatuation for love...but now I know what to avoid and what I want so I'm thankful
191,It makes me feel good when I see my friends realizing their dreams.,Some people get jealous when other people are doing well_comma_ so you are truely a good friend
192,It was my first time taking the DMV test. I went there rather early and aced the test.,Yes it was even though I was a bit nervous.
193,Just got a house for 10k. It's really broken down_comma_ but I hope it'll be nice after we fix it up.,thats cool.  i hope it works out for you
194,Just got a house for 10k. It's really broken down_comma_ but I hope it'll be nice after we fix it up.,thats cool.  i hope it works out for you
195,Last week when I was coming back to my home_comma_ a man approached me. But_comma_ I had a gun. I felt I was ready.,I had a gun. I felt I was ready. If anything would have happened_comma_ I could have used it.
196,Last week when I was coming back to my home_comma_ a man approached me. But_comma_ I had a gun. I felt I was ready.,I had a gun. I felt I was ready. If anything would have happened_comma_ I could have used it.
197,My brother and a bunch of our friends planned to go to a 15-person cottage in July. I could not wait for all the fun and games we would experience!,It's very close to a lake_comma_ it probably takes a two minute hike down through a patch of trees and tall grass to get there.
198,My brother is getting married. I am so happy for him,I am not_comma_ I did not want to jinx it
199,My co-worker is in charge of finishing up our big project. I am putting all my faith in them.,I have a co-worker putting the finishing touches on a big project and work_comma_ and I am really putting all my faith in him.
200,My company will give us a bonus because the quarter was good. I am happy.,I just went on a vaction with my kids. Its was so relaxing. Have fun
201,My daughter got is going to university. I'm so happy. ,Thank you_comma_ I'm so proud
202,My daughter has grown up so much. She is finally able tobabysit her younger siblings,my daughter has matured so well
203,My daughter win a medal for dancing in a competition. I glad to see her as a dancer.,I'm impressed_comma_ where did she win the medal?
204,My daughter win a medal for dancing in a competition. I glad to see her as a dancer.,I'm impressed_comma_ where did she win the medal?
205,My dog learned all of his tricks!,Oh great. That is so fun . My baby died a few years ago. But he was over 14 _comma_ so. 
206,My dogs passed away 2 years ago. My family adopted me one this past weekend on my birthday.,My dogs passed away 2 years ago. My family adopted me one this past weekend on my birthday.
207,My dogs passed away 2 years ago. My family adopted me one this past weekend on my birthday.,My dogs passed away 2 years ago. My family adopted me one this past weekend on my birthday.
208,My friend speaks 4 languages. I'm sure they'll get that interpreter job at the embassy.,Yea. English of course_comma_ then French_comma_ Spanisha and Chinese.
209,My friend speaks 4 languages. I'm sure they'll get that interpreter job at the embassy.,Yea. English of course_comma_ then French_comma_ Spanisha and Chinese.
210,My grandson just graduated high school. He was developmentally slow so we were amazed that he actaully graduated a year early!,You must be so proud. That really is a great accomplishment that he has made. Is he going to college?
211,My husband and I are going to couples counseling. I am really positive that we can fix things and be happy.,Oh no. I'm sorry to hear you are going through a rough patch.
212,My little boy got on the bus this morning. He made me so happy for him.,That's so sweet. 
213,My little boy got on the bus this morning. He made me so happy for him.,That's so sweet. 
214,My nephew is learning how to drive and asked to use my car to take the driving test this weekend. ,Yeah. I feel he wont let me down. 
215,My nephew is learning how to drive and asked to use my car to take the driving test this weekend. ,Yeah. I feel he wont let me down. 
216,My niece is visiting and we have a pool.  She has not had access to a pool for most of her childhood ad does not know how to swim.  She is figuring it out very quickly though and her confidence is increasing as her skills do.  It's very exciting to watch her skills and confidence soar and she feels it too.,My niece can't swim but has is staying with us for a bit and we have a pool.  Her skills are increasing and her confidence is soaring!
217,My niece is visiting and we have a pool.  She has not had access to a pool for most of her childhood ad does not know how to swim.  She is figuring it out very quickly though and her confidence is increasing as her skills do.  It's very exciting to watch her skills and confidence soar and she feels it too.,My niece can't swim but has is staying with us for a bit and we have a pool.  Her skills are increasing and her confidence is soaring!
218,My partner and I both work 24-hour shifts and tend to alternate shifts (I'll be at home hwen she's at work and she'll be at home when I'm at work). This can lead to some insecurities sometimes because not only are we away from each other alot_comma_ but we have a lot of time by ourselves where anyone could come over if they want to. I feel so lucky knowing that my wife has my best interest in mind. ,Ahh! We both enjoy it. Thanks for the thank you_comma_ though! :) 
219,My partner and I both work 24-hour shifts and tend to alternate shifts (I'll be at home hwen she's at work and she'll be at home when I'm at work). This can lead to some insecurities sometimes because not only are we away from each other alot_comma_ but we have a lot of time by ourselves where anyone could come over if they want to. I feel so lucky knowing that my wife has my best interest in mind. ,Ahh! We both enjoy it. Thanks for the thank you_comma_ though! :) 
220,My school is low income_comma_ but we score in the top 5% statewide.,Yep. We get looked down on so much_comma_ but I think some schools are gonna rethink their attitudes now.
221,My school is low income_comma_ but we score in the top 5% statewide.,Yep. We get looked down on so much_comma_ but I think some schools are gonna rethink their attitudes now.
222,My son just graduated from college. I cannot believe how fast time went.,Awesome. That is a huge accomplishment.
223,My son just graduated from college. I cannot believe how fast time went.,Awesome. That is a huge accomplishment.
224,My son won first place at his first spelling bee.,That's great!  Sounds like he's a smart kid!
225,My son won first place at his first spelling bee.,That's great!  Sounds like he's a smart kid!
226,My spouse bought me a diamond necklace for my birthday.,Yes I was_comma_ I felt love and appreciated. 
227,Nephew playing football this year,That's exciting!  I hope he's doing well in school!
228,Nephew plays football.  I hope he does great this year!,Yeah this is true!  I'll definitely take your advice! Thank you so much!
229,Nephew plays football.  I hope he does great this year!,Yeah this is true!  I'll definitely take your advice! Thank you so much!
230,One day my neighbor helped me in a risky situation. So I'm loyal to their family always.,Yeah_comma_ They helped me in the risky situation when I was alone.
231,One year we had a scary hurricane warning_comma_ but thankfully with plenty of time to get ready for it. So I got batteries_comma_ beer_comma_ non-perishable foods. I was totally ready!,Wouldn't you know it totally missed my city. I was a little let down to be honest_comma_ though glad we were safe.
232,One year we had a scary hurricane warning_comma_ but thankfully with plenty of time to get ready for it. So I got batteries_comma_ beer_comma_ non-perishable foods. I was totally ready!,Wouldn't you know it totally missed my city. I was a little let down to be honest_comma_ though glad we were safe.
233,Recently we decided to rescue another kitten. We were so thrilled to be adding another furry member to our family and save a life.,That is great! Adopt_comma_ don't shop! Always a great motto!
234,Some one owed me some money,I thought he would not pay back after a long time
235,The first time I went on a motorcycle_comma_ I was scared. But I knew my husband wouldn't do anything to hurt me. I trusted him with my life.,It must be nice to have that kind of trust for someone_comma_ and motorcycles can be fun!
236,The first time I went on a motorcycle_comma_ I was scared. But I knew my husband wouldn't do anything to hurt me. I trusted him with my life.,It must be nice to have that kind of trust for someone_comma_ and motorcycles can be fun!
237,This is gonna be a good year at school for me. Its going to be better than all the rest!,Thats a good outlook to have! What year are you on 1st_comma_ 2nd? 
238,Took the kiddos to the lake,That sound fun! I love to eat fresh fish!
239,Took the kiddos to the lake,That sound fun! I love to eat fresh fish!
240,Vacation trip coming up hope it's awesome,Yeah I know!  It's going to be awesome!  Enjoy your day_comma_ friend!
241,Vacation trip coming up hope it's awesome,Yeah I know!  It's going to be awesome!  Enjoy your day_comma_ friend!
242,We are wanting to buy a new house in the next year. I'm really hoping that it works out for us. We have needed something a little bigger for a while now.,Yes. I have 4 kids and we are living in a 3 bedroom and 1 bathroom right now. We definitely need another bathroom. lol
243,We had a big storm last summer_comma_ so this year I bought a ton of supplies in case we lost power or had flooding. Last year our basement got very damaged. ,Yeah its all repaired now. I also bought lots of food in case we loose power.
244,We recently went on vacation with some friends to Disney world.  They had never been before and we are annual passholders so we have been several times over the last year.,We had a really good time on our vacation a couple of weeks ago.
245,We recently went on vacation with some friends to Disney world.  They had never been before and we are annual passholders so we have been several times over the last year.,We had a really good time on our vacation a couple of weeks ago.
246,We went through hurricane irma last year. We got everything we needed and put metal shutter on all the windows and decided to stay. , i must have been terrifying_comma_ I am glad you both made it through it
247,What do you do for a living?,I am responsible for promoting learning about AI through conversations.
248,What do you do?,I am a chatbot to promote learning about AI. Are you interested in learning about any aspect of AI?
249,What does Jeremy Hobson look at?,"The BBC's science correspondent, Jeremy Hobson, looks at the role of algorithms in computing."
250,What does Jeremy Hobson look at?,"The BBC's science correspondent, Jeremy Hobson, looks at the challenges faced by researchers trying to develop algorithms for predicting the behaviour of natural disasters."
251,What does John Sudworth look at?,"The BBC's science correspondent, Dr John Sudworth, looks at the history of algorithms."
252,What does Richard Black explain about the metaverse?,"The BBC's technology correspondent, Richard Black, explains the meaning of the metaverse."
253,What does Sue Perkins explain about machine learning?,"The BBC's artificial intelligence expert, Sue Perkins, explains how machine learning works."
254,What is a bot?,A bot is a computer program that is capable of playing a video game.
255,What is a computer program that uses instructions or rules to solve problems?,An algorithm is a computer program that uses instructions or rules to solve problems.
256,What is a reward for doing well?,"Researchers at the University of California, Berkeley, have developed a way to teach children to learn by giving them a reward for doing well."
257,What is an example of a model-based learning method?,Image-based learning is a promising new way to train computers.
258,What is one of the main functions of computer systems?,The following are some of the main functions of computer systems.
259,What is the aim of this paper?,The aim of this paper is to show how to design algorithms for the problem of the distribution of the number of points of a series of triplets.
260,What is the classification of data by?,In this paper we will discuss the classification of data by the following criteria:
261,What is the concept of Augmented Reality?,"Augmented reality is the idea that your smartphone, tablet or computer can be used to view the world around you."
262,What is the definition of a Merkle hash tree?,"A Merkle hash tree is a tree of data structures, binary or otherwise, with the labels or values of its child nodes."
263,What is the definition of a bot?,A bot is a computer program capable of performing repetitive tasks.
264,What is the definition of a bot?,A bot is a software application that is programmed to perform certain tasks.
265,What is the definition of a graph?,A graph is a set of objects that can be arranged in a way that is mathematically possible.
266,What is the definition of a graph?,"A graph is a representation of a system or set, by means of graphical schemes."
267,What is the definition of a graphics processing unit?,A graphics processing unit (GPU) is a piece of computer hardware that handles computer graphics operations.
268,What is the definition of a graphics processing unit?,"A graphics processing unit (GPU) or graphics processor is a coprocessor dedicated to graphics processing or floating point operations, to lighten the workload of the central processor/CPU in applications such as video games or interactive 3D applications."
269,What is the definition of a grouping rule?,The association rule is a set of rules that govern the way items are grouped and stored.
270,What is the definition of a hash function?,A Hash Function is a mathematical function that transforms a set of data into an alphanumeric code of fixed length.
271,What is the definition of a hash function?,A hash function is a function that converts one or more input elements into another element.
272,What is the definition of a metaverse?,The idea of a metaverse is a new way of exploring the universe.
273,What is the definition of a model?,AI is a branch of science that aims to improve the way we think about and use data.
274,What is the definition of a model?,This paper describes how to train an artificial intelligence model to predict the likelihood of a given event.
275,What is the definition of a subajustment?,The failure of a system to work properly is called underfitting.
276,What is the definition of a sugar code?,"In this video, you will learn how to write code using sugar."
277,What is the definition of a tree?,In this course we will be learning how to use a tree in a variety of ways.
278,What is the definition of a tree?,A tree is a structure of data that is not empty or null.
279,What is the definition of a variable dummy?,This article will show you how to create a dummy variable in Python.
280,What is the definition of an intelligent agent?,"An intelligent agent is an entity capable of perceiving its environment, processing such perceptions and responding or acting in its environment rationally, i.e., tending to maximize an expected result."
281,What is the definition of an intelligent agent?,Intelligent agents are the future of technology.
282,What is the definition of arbol?,In this article we will talk about the different types of data structures and how they can be used in the web.
283,What is the definition of association rules?,In this paper we will look at the use of association rules in decision trees.
284,What is the definition of augmented reality?,The Augmented Reality Association (ARA) is a non-profit organisation that promotes the use of augmented reality in the hospitality industry.
285,What is the definition of augmented reality?,"The BBC's technology correspondent, Chris McGrath, explains how augmented reality can be used to enhance our daily lives."
286,What is the definition of big data?,"The term 'big data' has been around for a long time, but has now become more common."
287,What is the definition of blockchain?,The Blockchain Foundation is a non-profit organisation that promotes the use of Blockchain technology.
288,What is the definition of data science?,The term data science has been used by many universities and research institutions for a long time.
289,What is the definition of metadata?,Metadata is a collection of information that accompanies data.
290,What is the definition of metadata?,Metadata is a word that has been used by many people to describe data.
291,What is the definition of metaverso?,"The Metaverse is a new technology developed by the University of California, Los Angeles (UCLA)."
292,What is the definition of sobreajuste?,This video shows how to overfitting a computer model.
293,What is the definition of sobreajuste?,A new study suggests that a neural network can be overfitted.
294,What is the definition of tabla hash?,The hash table is a very useful tool for searching for data.
295,What is the definition of tabla hash?,A hash table is a data structure that associates keys or keys with values.
296,What is the definition of the Merkle tree?,"The Merkle tree is a distributed ledger system that can be used to store, manage, and retrieve large amounts of data."
297,What is the definition of the internet of things?,"The BBC's technology correspondent, Dan Biles, looks at the future of the internet of things."
298,What is the definition of xenobot?,"Meet the Xenobots, the latest in a long line of living robots."
299,What is the goal of the project?,The aim of this project is to develop a new type of data analytics: a model.
300,What is the idea of an algorithm?,The idea of an algorithm is to create a set of rules that can be used to solve problems.
301,What is the main feature of the aprendizaje?,In this paper we show how to train a group of unsupervised learning algorithms.
302,What is the name of the algorithm used by Google?,Google has been accused of manipulating its search results to favour its own products and services over those of rivals such as Yahoo and Bing.
303,What is the name of the algorithm?,The algorithm is a set of instructions that is used to solve problems.
304,What is the name of the algoritm?,A cooking class is a chance for students to learn how to prepare a meal.
305,What is the name of the autoencoder developed by the University of Cambridge?,The University of Cambridge has developed an autoencoder for the Cambridge University Press.
306,What is the name of the bot used in the election?,"The United States is currently holding elections to choose a new president, and the use of bots in the campaign has been a major issue."
307,What is the name of the computer system developed by researchers at the University of Bristol?,"A computer system that could be used to ""Turing complete"" has been developed by researchers at the University of Bristol."
308,What is the name of the condition that a 3D printer must be maintained?,We have been using a 3D printer for many years and have been finding that it is a very expensive machine to maintain.
309,What is the name of the film that celebrates Euclid?,"The ancient Greek mathematician Euclid is celebrated in the film The Big Bang Theory, which opens in the UK on Friday."
310,What is the name of the initiative that promotes the use of green computing?,The World Green Computing Council (WGC) has launched a new initiative to promote the use of green computing in the world.
311,What is the name of the internet?,"A new type of shoe is being developed by the University of California, Berkeley."
312,What is the name of the lecture by Alan Turing?,"On the 80th anniversary of the Turing machine's creation, the University of California, Berkeley, is marking the occasion with a series of lectures by computer scientist Alan Turing, who was the man who first proposed the idea of a computer."
313,What is the name of the machine that Alan Turing developed?,"The BBC's science correspondent, Richard Black, has been to the University of Cambridge to see the Turing machine, a machine developed by Alan Turing in the 1950s."
314,"What is the name of the method developed by scientists at the University of California, Los Angeles?","Scientists at the University of California, Los Angeles, have developed a way to stop people from falling ill if they get sick."
315,What is the name of the model we present?,We present a generative model for unsupervised learning of large-scale data sets.
316,What is the name of the new method developed?,A novel method for learning autoencoders has been developed.
317,What is the name of the new technology being used to help businesses manage their digital assets?,A new technology is being used to help businesses manage their digital assets.
318,What is the name of the new type of data collection system?,"The British government has announced that it will be introducing a new type of data collection system called Smart Data, which will be able to collect a lot of data in a short time, but will also be able to analyse it."
319,What is the name of the new type of machine learning?,The research group at the University of Bristol has developed a new type of machine learning called reinforcement learning.
320,What is the name of the new way of learning at the University of Cambridge?,"The University of Cambridge has developed a new way of learning, called Federated Learning."
321,What is the name of the paper that describes the classification of algorithms?,In this paper we describe the classification of algorithms.
322,What is the name of the paper that describes the use of ofrative models to train computer systems to discriminate between real and artificial examples?,This paper describes the use ofrative models to train computer systems to discriminate between real and artificial examples.
323,What is the name of the part of an algorithm?,An algorithm is a computer program that uses a set of instructions to solve a problem.
324,What is the name of the prediction model used in artificial intelligence?,"A decision tree is a prediction model used in many fields including artificial intelligence, economics and computer science."
325,What is the name of the project that has been awarded the European Research Award?,"The PROLOG project has been awarded the European Union's prestigious R&D award, the European Research Award (Eredo), for its contribution to artificial intelligence."
326,What is the name of the robot that can swim and talk?,A robot that can swim and talk has been developed in the US.
327,What is the name of the technology that allows the transfer of information between computers?,Blockchain is a technology that allows the transfer of information between computers.
328,What is the name of the technology used in the banking sector?,The use of blockchain technology in the banking sector has been growing in recent years.
329,What is the name of the test that is used to test the intelligence of machines?,"The BBC's science correspondent, Richard Galpin, explains how the Turing test is used to test the intelligence of machines."
330,What is the name of the tool that is used to learn how to use a website?,This is a very useful tool for learning how to use a website.
331,What is the name of the tree?,The tree is a very important part of any learning process.
332,What is the name of the tutorial that shows you how to solve a factorial in Prolog?,"In this tutorial, I will show you how to solve a factorial in the Prolog language."
333,"What is the name of the xenobot that can swim, fly and crawl?","A team of scientists at the University of California, Berkeley, has developed a xenobot that can swim, fly and crawl."
334,What is the term for a computer scientist who uses data to solve problems?,Data science is a branch of computer science that uses data to solve problems.
335,What is the term for a graphics processing unit?,"GPU- accelerated computing is the use of a graphics processing unit (GPU) in conjunction with a CPU to accelerate the performance of deep learning, analytics and engineering applications."
336,What is the term for data science?,Data science is a branch of science that uses data to solve problems.
337,What is the term for the Internet of Things?,The Internet of Things (IoT) is a growing trend in the technology industry.
338,What is the term for the collection and analysis of large amounts of data?,Big Data is the collection and analysis of large amounts of data.
339,What is the term for the use of sensors and actuators in the home?,The use of sensors and actuators in the home is increasing.
340,What is the term for variables dummy?,"The effect of a dummy variable on the outcome of a study is discussed in the paper ""Effects of a dummy variable on a study"" by the researchers at the University of Oxford."
341,What is the term used to describe data that is ready to be used but not yet ready for use?,"The term ""smart data"" is used to describe data that is ready to be used, but which is not yet ready for use."
342,What is the topic of the PhD program at the University of Bristol?,The University of Bristol is offering a PhD in data science.
343,What is your name?,"My name is Sara, and what is yours?"
344,What is your occupation?,I am a chatbot in charge of fostering learning about AI.
345,What test did DeepMind pass?,The BBC reports that a machine called DeepMind has passed the Turing test for the first time.
346,What type of technology is expected to be the fastest growing segment of the global market?,The telecommunications sector is expected to be one of the fastest growing segments in the global blockchain market.
347,What was the name of Alan Turing's work?,Alan Turing was a British computer scientist who developed the complete Turing complete.
348,What was the name of the machine that was seen at Bletchley Park?,"The BBC's science correspondent, Jeremy Vine, has been to the World War Two code-breaking centre at Bletchley Park to see the Turing machine."
349,What's your name?,My name is Sara. What would you like to talk about?
350,When I am in nature I feel good that this world is exactly as it should be. Everything is moving a long to Gods desires.,Why do cities make you feel that way?
351,When I am in nature I feel good that this world is exactly as it should be. Everything is moving a long to Gods desires.,Why do cities make you feel that way?
352,When I had many problems or I was sad_comma_ I knew God was with me and the things were going to improve.,Can you facetime them?
353,When I had many problems or I was sad_comma_ I knew God was with me and the things were going to improve.,Can you facetime them?
354,When I was a little kid I used to put my faith in everybody.  I learned later on_comma_ as I matured that you can't rely on other people too much because only you know what is best for you in life while everyone else will try to use you if they see you doing too well in life,I understand. Do you like Tony Montana in the movie Scarface?
355,When I went into labor with my son_comma_ it was quite the ordeal. He was coming way too early and we had to rush to get him out. Thankfully_comma_ I had everything already packed beforehand!,Is he healthy?
356,When my dad wanted to help me get a car_comma_ I trusted him. I knew he would help me a lot,That is nice of him_comma_ that is a good dad right there!
357,When my dad wanted to help me get a car_comma_ I trusted him. I knew he would help me a lot,That is nice of him_comma_ that is a good dad right there!
358,When my first child was born I have never experienced so much happiness in my life.,Thank you! It is hard at times tho when getting little sleep.
359,When my spouse was out of town for work_comma_ a friend stopped by to visit. This friend offered to kiss me_comma_ but I declined and asked the friend to leave. I only have interest in my spouse in this way.,I said no and made the friend leave. I only like my spouse.
360,When my spouse was out of town for work_comma_ a friend stopped by to visit. This friend offered to kiss me_comma_ but I declined and asked the friend to leave. I only have interest in my spouse in this way.,I said no and made the friend leave. I only like my spouse.
361,When the guy I'm now married to and I met for the first time I was actually dating someone else. I thought that my now husband would just be a really good friend to me. I stayed with my ex-boyfriend for a while after_comma_ and even when I knew I wanted to date my now husband I never did anything to betray my ex.,Well that's good. Sounds like it all worked out pretty well.
362,When the guy I'm now married to and I met for the first time I was actually dating someone else. I thought that my now husband would just be a really good friend to me. I stayed with my ex-boyfriend for a while after_comma_ and even when I knew I wanted to date my now husband I never did anything to betray my ex.,Well that's good. Sounds like it all worked out pretty well.
363,god has done so much for me in my life. i owe everything to him,and i know he's going to come back for me and take me away from this place
364,god has done so much for me in my life. i owe everything to him,and i know he's going to come back for me and take me away from this place
365,i am so happy that i am going to be a grandma,Yep. Happy and healthy is a blessing
366,i am so happy that i am going to be a grandma,Yep. Happy and healthy is a blessing
367,i cant wait for next week!,What's going on next week?
368,i felt trusting when my dad and my mon care for me,Well as a fellow human being_comma_ I agree that when parents care for their children_comma_ it creates a lifelasting bond between the two parties.
369,i felt trusting when my dad and my mon care for me,Well as a fellow human being_comma_ I agree that when parents care for their children_comma_ it creates a lifelasting bond between the two parties.
370,i got a surprise gift in the mail,one time on my birthday i never expect much to me is just a regular day _comma_ then i get a package in the mail it was copic markers my friend mailed them to me from another state i was so happy
371,i have faith my brother will do alright,Well at least you were able to introduce him to your friend. I hope everything works out for him!
372,i have faith my brother will do alright,Well at least you were able to introduce him to your friend. I hope everything works out for him!
373,i went in knowing i was going to do great on that test,Awesome! So happy for you my friend
374,i went in knowing i was going to do great on that test,Awesome! So happy for you my friend
375,im ready for next week!,what's happening next week?
376,im ready for next week!,what's happening next week?
377,my daughter passed her drivers test on the first try,really scary.
378,my daughter passed her drivers test on the first try,really scary.
379,ready to leave this hood ,That sounds like a plan.
380,that i will find a better job ,I am staying very positive that this year even if it is coming close to an end I will find a better job! 
381,when I had my test to get a new certification at work_comma_ I felt great about it because I had workd really hard and studied.,I had my test for a new certification at work.  I really wasn't that nervous for it though.
382,when I had my test to get a new certification at work_comma_ I felt great about it because I had workd really hard and studied.,I had my test for a new certification at work.  I really wasn't that nervous for it though.
